"","x"
"784",24
"785",43
"786",26
"787",48
"788",29
"789",28
"790",36
"791",46
"792",23
"793",25
"794",59
"795",19
"796",31
"797",33
"798",26
"799",21
"800",38
"801",31
"802",21
"803",49
"804",19
"805",23
"806",42
"807",42
"808",46
"809",53
"810",51
"811",37
"812",32
"813",24
"814",29
"815",25
"816",25
"817",23
"818",35
"819",45
"820",33
"821",26
"822",30
"823",34
"824",30
"825",25
"826",43
"827",20
"828",27
"829",23
"830",27
"831",31
"832",23
"833",28
"834",27
"835",26
"836",47
"837",21
"838",25
"839",28
"840",40
"841",22
"842",40
"843",29
"844",31
"845",36
"846",26
"847",39
"848",44
"849",48
"850",35
"851",28
"852",30
"853",25
"854",30
"855",27
"856",36
"857",29
"858",39
"859",32
"860",33
"861",36
"862",25
"863",27
"864",29
"865",30
"866",31
"867",26
"868",24
"869",34
"870",24
"871",27
"872",22
"873",29
"874",23
"875",22
"876",21
"877",25
"878",32
"879",32
"880",28
"881",30
"882",26
"883",21
"884",20
"885",36
"886",27
"887",27
"888",25
"889",44
"890",40
"891",21
"892",31
"893",33
"894",29
"895",27
"896",25
"897",31
"898",23
"899",26
"900",25
"901",21
"902",22
"903",32
"904",24
"905",27
"906",38
"907",28
"908",32
"909",24
"910",23
"911",45
"912",47
"913",35
"914",42
"915",37
"916",34
"917",26
"918",29
"919",26
"920",22
"921",36
"922",28
"923",28
"924",41
"925",24
"926",24
"927",27
"928",32
"929",27
"930",24
"931",23
"932",27
"933",26
"934",41
"935",34
"936",40
"937",24
"938",23
"939",30
"940",27
"941",29
"942",29
"943",31
"944",38
"945",28
"946",33
"947",28
"948",35
"949",25
"950",31
"951",28
"952",30
"953",26
"954",23
"955",43
"956",24
"957",35
"958",30
"959",23
"960",21
"961",40
"962",26
"963",23
"964",23
"965",34
"966",33
"967",25
"968",28
"969",34
"970",21
"971",23
"972",30
"973",31
"974",37
"975",32
"976",23
"977",28
"978",24
"979",40
"980",27
"981",43
"982",27
"983",27
"984",23
"985",30
"986",30
"987",29
"988",22
"989",41
"990",23
"991",25
"992",31
"993",22
"994",30
"995",30
"996",26
"997",40
"998",31
"999",34
"1000",36
"1001",34
"1002",23
"1003",23
"1004",45
"1005",35
"1006",20
"1007",39
"1008",39
"1009",35
"1010",33
"1011",35
"1012",32
"1013",29
"1014",30
"1015",27
"1016",29
"1017",25
"1018",31
"1019",22
"1020",42
"1021",30
"1022",38
"1023",39
"1024",47
"1025",35
"1026",42
"1027",24
"1028",43
"1029",31
"1030",26
"1031",27
"1032",38
"1033",25
"1034",47
"1035",26
"1036",25
"1037",29
"1038",36
"1039",30
"1040",24
"1041",33
"1042",31
"1043",34
"1044",38
"1045",30
"1046",35
"1047",37
"1048",32
"1049",28
"1050",32
"1051",25
"1052",40
"1053",26
"1054",37
"1055",26
"1056",26
"1057",41
"1058",26
"1059",29
"1060",28
"1061",37
"1062",33
"1063",37
"1064",25
"1065",28
"1066",28
"1067",33
"1068",25
"1069",26
"1070",40
"1071",34
"1072",28
"1073",34
"1074",23
"1075",25
"1076",30
"1077",35
"1078",31
"1079",26
"1080",26
"1081",23
"1082",25
"1083",23
"1084",45
"1085",31
"1086",26
"1087",21
"1088",37
"1089",26
"1090",45
"1091",27
"1092",27
"1093",21
"1094",30
"1095",25
"1096",23
"1097",22
"1098",36
"1099",35
"1100",26
"1101",47
"1102",32
"1103",35
"1104",29
"1105",26
"1106",24
"1107",35
"1108",24
"1109",64
"1110",23
"1111",27
"1112",24
"1113",33
"1114",56
"1115",49
"1116",28
"1117",32
"1118",38
"1119",31
"1120",28
"1121",33
"1122",41
"1123",27
"1124",37
"1125",30
"1126",28
"1127",35
"1128",34
"1129",28
"1130",42
"1131",28
"1132",27
"1133",43
"1134",24
"1135",24
"1136",30
"1137",40
"1138",22
"1139",37
"1140",44
"1141",31
"1142",48
"1143",28
"1144",29
"1145",38
"1146",44
"1147",31
"1148",49
"1149",23
"1150",33
"1151",27
"1152",37
"1153",28
"1154",18
"1155",30
"1156",33
"1157",25
"1158",21
"1159",28
"1160",31
"1161",23
"1162",43
"1163",37
"1164",45
"1165",34
"1166",63
"1167",25
"1168",28
"1169",29
"1170",29
"1171",25
"1172",24
"1173",30
"1174",40
"1175",36
"1176",40
"1177",25
"1178",25
"1179",31
"1180",26
"1181",27
"1182",23
"1183",30
"1184",25
"1185",34
"1186",30
"1187",27
"1188",19
"1189",23
"1190",30
"1191",27
"1192",25
"1193",24
"1194",42
"1195",27
"1196",25
"1197",28
"1198",28
"1199",25
"1200",36
"1201",20
"1202",19
"1203",23
"1204",36
"1205",25
"1206",37
"1207",37
"1208",25
"1209",37
"1210",39
"1211",42
"1212",45
"1213",31
"1214",24
"1215",36
"1216",29
"1217",30
"1218",23
"1219",29
"1220",30
"1221",24
"1222",33
"1223",25
"1224",27
"1225",25
"1226",24
"1227",28
"1228",26
"1229",22
"1230",32
"1231",28
"1232",18
"1233",40
"1234",25
"1235",31
"1236",23
"1237",21
"1238",35
"1239",37
"1240",20
"1241",20
"1242",24
"1243",23
"1244",23
"1245",37
"1246",23
"1247",18
"1248",25
"1249",25
"1250",28
"1251",26
"1252",31
"1253",33
"1254",32
"1255",31
"1256",24
"1257",33
"1258",35
"1259",19
"1260",26
"1261",31
"1262",32
"1263",29
"1264",48
"1265",25
"1266",29
"1267",35
"1268",28
"1269",24
"1270",18
"1271",64
"1272",30
"1273",23
"1274",41
"1275",21
"1276",30
"1277",56
"1278",30
"1279",33
"1280",37
"1281",26
"1282",24
"1283",25
"1284",26
"1285",41
"1286",59
"1287",32
"1288",29
"1289",35
"1290",58
"1291",34
"1292",29
"1293",37
"1294",22
"1295",45
"1296",20
"1297",33
"1298",42
"1299",25
"1300",22
"1301",30
"1302",25
"1303",25
"1304",30
"1305",25
"1306",22
"1307",34
"1308",39
"1309",31
"1310",46
"1311",29
"1312",30
"1313",37
"1314",35
"1315",32
"1316",28
"1317",31
"1318",36
"1319",22
"1320",43
"1321",37
"1322",60
"1323",25
"1324",37
"1325",40
"1326",29
"1327",25
"1328",30
"1329",27
"1330",25
"1331",31
"1332",28
"1333",26
"1334",24
"1335",26
"1336",30
"1337",29
"1338",41
"1339",45
"1340",30
"1341",26
"1342",32
"1343",26
"1344",46
"1345",31
"1346",21
"1347",33
"1348",51
"1349",31
"1350",26
"1351",68
"1352",44
"1353",38
"1354",31
"1355",29
"1356",23
"1357",23
"1358",20
"1359",29
"1360",24
"1361",27
"1362",29
"1363",32
"1364",35
"1365",23
"1366",26
"1367",21
"1368",32
"1369",36
"1370",37
"1371",22
"1372",25
"1373",38
"1374",40
"1375",39
"1376",23
"1377",25
"1378",33
"1379",28
"1380",32
"1381",26
"1382",37
"1383",28
"1384",40
"1385",28
"1386",29
"1387",23
"1388",22
"1389",38
"1390",65
"1391",31
"1392",30
"1393",41
"1394",25
"1395",25
"1396",33
"1397",26
"1398",22
"1399",42
"1400",28
"1401",27
"1402",31
"1403",45
"1404",51
"1405",30
"1406",28
"1407",32
"1408",47
"1409",28
"1410",27
"1411",27
"1412",35
"1413",23
"1414",25
"1415",38
"1416",32
"1417",33
"1418",57
"1419",40
"1420",25
"1421",30
"1422",26
"1423",30
"1424",26
"1425",27
"1426",18
"1427",59
"1428",32
"1429",35
"1430",38
"1431",25
"1432",24
"1433",20
"1434",26
"1435",25
"1436",29
"1437",47
"1438",33
"1439",29
"1440",36
"1441",27
"1442",26
"1443",26
"1444",27
"1445",25
"1446",43
"1447",38
"1448",27
"1449",37
"1450",21
"1451",23
"1452",38
"1453",29
"1454",34
"1455",41
"1456",27
"1457",24
"1458",25
"1459",23
"1460",20
"1461",26
"1462",24
"1463",19
"1464",63
"1465",21
"1466",28
"1467",28
"1468",25
"1469",33
"1470",29
"1471",44
"1472",49
"1473",27
"1474",26
"1475",36
"1476",43
"1477",21
"1478",31
"1479",41
"1480",34
"1481",22
"1482",48
"1483",29
"1484",23
"1485",25
"1486",29
"1487",24
"1488",37
"1489",24
"1490",44
"1491",32
"1492",40
"1493",30
"1494",26
"1495",32
"1496",24
"1497",23
"1498",27
"1499",32
"1500",26
"1501",25
"1502",34
"1503",24
"1504",42
"1505",44
"1506",31
"1507",48
"1508",59
"1509",43
"1510",36
"1511",29
"1512",33
"1513",29
"1514",27
"1515",64
"1516",25
"1517",38
"1518",37
"1519",61
"1520",24
"1521",26
"1522",35
"1523",33
"1524",33
"1525",27
"1526",40
"1527",32
"1528",27
"1529",31
"1530",29
"1531",31
"1532",34
"1533",60
"1534",23
"1535",32
"1536",26
"1537",21
"1538",32
"1539",26
"1540",21
"1541",33
"1542",24
"1543",31
"1544",32
"1545",24
"1546",23
"1547",28
"1548",25
"1549",35
"1550",27
"1551",26
"1552",26
"1553",27
"1554",31
"1555",28
"1556",34
"1557",28
"1558",41
"1559",25
"1560",25
"1561",23
"1562",37
"1563",38
"1564",27
"1565",35
"1566",34
"1567",28
"1568",24
"1569",25
"1570",26
"1571",28
"1572",20
"1573",29
"1574",38
"1575",30
"1576",24
"1577",25
"1578",24
"1579",24
"1580",24
"1581",25
"1582",35
"1583",27
"1584",22
"1585",27
"1586",27
"1587",40
"1588",28
"1589",30
"1590",33
"1591",27
"1592",29
"1593",43
"1594",26
"1595",33
"1596",29
"1597",26
"1598",29
"1599",25
"1600",36
"1601",28
"1602",39
"1603",30
"1604",23
"1605",27
"1606",23
"1607",39
"1608",31
"1609",37
"1610",42
"1611",62
"1612",26
"1613",41
"1614",32
"1615",41
"1616",22
"1617",25
"1618",47
"1619",35
"1620",36
"1621",33
"1622",25
"1623",27
"1624",28
"1625",26
"1626",24
"1627",19
"1628",21
"1629",32
"1630",25
"1631",27
"1632",38
"1633",28
"1634",35
"1635",28
"1636",27
"1637",25
"1638",24
"1639",28
"1640",35
"1641",29
"1642",32
"1643",43
"1644",27
"1645",28
"1646",44
"1647",51
"1648",33
"1649",39
"1650",24
"1651",29
"1652",37
"1653",27
"1654",25
"1655",28
"1656",37
"1657",31
"1658",24
"1659",30
"1660",42
"1661",30
"1662",24
"1663",33
"1664",26
"1665",32
"1666",44
"1667",29
"1668",27
"1669",26
"1670",37
"1671",25
"1672",30
"1673",28
"1674",27
"1675",25
"1676",22
"1677",26
"1678",28
"1679",48
"1680",36
"1681",26
"1682",28
"1683",30
"1684",23
"1685",33
"1686",47
"1687",53
"1688",38
"1689",39
"1690",25
"1691",25
"1692",32
"1693",25
"1694",28
"1695",24
"1696",28
"1697",22
"1698",32
"1699",32
"1700",25
"1701",34
"1702",22
"1703",27
"1704",22
"1705",29
"1706",39
"1707",39
"1708",35
"1709",19
"1710",24
"1711",26
"1712",25
"1713",21
"1714",41
"1715",30
"1716",36
"1717",26
"1718",28
"1719",25
"1720",22
"1721",34
"1722",30
"1723",35
"1724",32
"1725",21
"1726",32
"1727",43
"1728",29
"1729",27
"1730",61
"1731",24
"1732",39
"1733",38
"1734",39
"1735",26
"1736",31
"1737",34
"1738",30
"1739",26
"1740",41
"1741",57
"1742",58
"1743",34
"1744",40
"1745",33
"1746",25
"1747",31
"1748",40
"1749",31
"1750",47
"1751",27
"1752",33
"1753",45
"1754",38
"1755",35
"1756",45
"1757",29
"1758",27
"1759",29
"1760",26
"1761",64
"1762",38
"1763",25
"1764",31
"1765",29
"1766",25
"1767",58
"1768",31
"1769",26
"1770",27
"1771",34
"1772",27
"1773",26
"1774",38
"1775",33
"1776",24
"1777",45
"1778",26
"1779",28
"1780",33
"1781",27
"1782",29
"1783",50
"1784",38
"1785",42
"1786",26
"1787",31
"1788",20
"1789",29
"1790",39
"1791",32
"1792",27
"1793",25
"1794",56
"1795",26
"1796",23
"1797",22
"1798",26
"1799",23
"1800",30
"1801",26
"1802",22
"1803",20
"1804",26
"1805",21
"1806",26
"1807",36
"1808",39
"1809",28
"1810",27
"1811",31
"1812",57
"1813",28
"1814",41
"1815",38
"1816",24
"1817",44
"1818",36
"1819",25
"1820",29
"1821",37
"1822",26
"1823",31
"1824",22
"1825",30
"1826",39
"1827",27
"1828",40
"1829",31
"1830",34
"1831",29
"1832",25
"1833",31
"1834",20
"1835",39
"1836",22
"1837",32
"1838",31
"1839",28
"1840",23
"1841",28
"1842",34
"1843",38
"1844",32
"1845",39
"1846",27
"1847",43
"1848",33
"1849",26
"1850",28
"1851",29
"1852",20
"1853",29
"1854",31
"1855",28
"1856",59
"1857",37
"1858",26
"1859",26
"1860",42
"1861",23
"1862",27
"1863",31
"1864",26
"1865",25
"1866",42
"1867",33
"1868",21
"1869",25
"1870",27
"1871",29
"1872",46
"1873",41
"1874",32
"1875",35
"1876",45
"1877",30
"1878",25
"1879",35
"1880",22
"1881",30
"1882",24
"1883",25
"1884",42
"1885",20
"1886",37
"1887",57
"1888",35
"1889",23
"1890",36
"1891",28
"1892",32
"1893",23
"1894",22
"1895",27
"1896",34
"1897",43
"1898",30
"1899",44
"1900",32
"1901",64
"1902",32
"1903",33
"1904",22
"1905",29
"1906",26
"1907",22
"1908",25
"1909",49
"1910",27
"1911",24
"1912",37
"1913",38
"1914",21
"1915",36
"1916",27
"1917",29
"1918",33
"1919",29
"1920",37
"1921",59
"1922",34
"1923",26
"1924",39
"1925",24
"1926",39
"1927",50
"1928",22
"1929",35
"1930",34
"1931",25
"1932",32
"1933",29
"1934",30
"1935",25
"1936",34
"1937",22
"1938",25
"1939",27
"1940",25
"1941",33
"1942",26
"1943",65
"1944",39
"1945",68
"1946",24
"1947",23
"1948",27
"1949",23
"1950",27
"1951",61
"1952",21
"1953",48
"1954",40
"1955",22
"1956",42
"1957",24
"1958",20
"1959",24
"1960",27
"1961",60
"1962",48
"1963",27
"1964",31
"1965",23
"1966",40
"1967",23
"1968",37
"1969",22
"1970",19
"1971",25
"1972",30
"1973",19
"1974",18
"1975",37
"1976",28
"1977",25
"1978",25
"1979",24
"1980",25
"1981",32
"1982",29
"1983",22
"1984",29
"1985",28
"1986",23
"1987",30
"1988",24
"1989",25
"1990",42
"1991",19
"1992",18
"1993",42
"1994",26
"1995",26
"1996",23
"1997",31
"1998",30
"1999",23
"2000",41
"2001",56
"2002",25
"2003",49
"2004",57
"2005",25
"2006",35
"2007",26
"2008",23
"2009",41
"2010",52
"2011",26
"2012",32
"2013",26
"2014",48
"2015",28
"2016",22
"2017",24
"2018",28
"2019",23
"2020",28
"2021",19
"2022",29
"2023",25
"2024",25
"2025",23
"2026",25
"2027",23
"2028",28
"2029",30
"2030",28
"2031",30
"2032",25
"2033",27
"2034",31
"2035",28
"2036",29
"2037",31
"2038",29
"2039",45
"2040",30
"2041",23
"2042",23
"2043",31
"2044",37
"2045",30
"2046",39
"2047",25
"2048",19
"2049",31
"2050",27
"2051",18
"2052",45
"2053",30
"2054",34
"2055",29
"2056",23
"2057",29
"2058",26
"2059",39
"2060",24
"2061",29
"2062",37
"2063",24
"2064",33
"2065",43
"2066",24
"2067",26
"2068",23
"2069",34
"2070",43
"2071",42
"2072",31
"2073",24
"2074",24
"2075",35
"2076",27
"2077",24
"2078",40
"2079",23
"2080",51
"2081",24
"2082",26
"2083",31
"2084",44
"2085",27
"2086",33
"2087",30
"2088",26
"2089",60
"2090",22
"2091",24
"2092",24
"2093",29
"2094",22
"2095",22
"2096",24
"2097",42
"2098",36
"2099",35
"2100",23
"2101",27
"2102",24
"2103",34
"2104",32
"2105",43
"2106",24
"2107",24
"2108",26
"2109",22
"2110",37
"2111",25
"2112",36
"2113",37
"2114",32
"2115",31
"2116",22
"2117",35
"2118",42
"2119",40
"2120",40
"2121",39
"2122",28
"2123",51
"2124",31
"2125",31
"2126",43
"2127",47
"2128",30
"2129",28
"2130",22
"2131",37
"2132",57
"2133",19
"2134",34
"2135",21
"2136",42
"2137",25
"2138",24
"2139",66
"2140",26
"2141",30
"2142",28
"2143",45
"2144",32
"2145",30
"2146",42
"2147",27
"2148",46
"2149",26
"2150",40
"2151",32
"2152",49
"2153",28
"2154",25
"2155",28
"2156",30
"2157",27
"2158",32
"2159",28
"2160",34
"2161",35
"2162",26
"2163",25
"2164",42
"2165",28
"2166",25
"2167",29
"2168",30
"2169",37
"2170",29
"2171",28
"2172",51
"2173",31
"2174",43
"2175",26
"2176",43
"2177",33
"2178",42
"2179",24
"2180",23
"2181",28
"2182",38
"2183",26
"2184",25
"2185",38
"2186",32
"2187",66
"2188",25
"2189",38
"2190",39
"2191",31
"2192",22
"2193",34
"2194",31
"2195",35
"2196",31
"2197",28
"2198",42
"2199",34
"2200",20
"2201",31
"2202",25
"2203",37
"2204",38
"2205",38
"2206",52
"2207",42
"2208",30
"2209",30
"2210",27
"2211",30
"2212",26
"2213",30
"2214",46
"2215",38
"2216",28
"2217",27
"2218",31
"2219",34
"2220",22
"2221",31
"2222",27
"2223",32
"2224",25
"2225",28
"2226",32
"2227",43
"2228",25
"2229",25
"2230",30
"2231",28
"2232",33
"2233",55
"2234",41
"2235",22
"2236",20
"2237",20
"2238",31
"2239",49
"2240",32
"2241",23
"2242",26
"2243",28
"2244",23
"2245",31
"2246",31
"2247",23
"2248",29
"2249",28
"2250",32
"2251",42
"2252",22
"2253",30
"2254",20
"2255",30
"2256",27
"2257",36
"2258",29
"2259",25
"2260",32
"2261",24
"2262",53
"2263",35
"2264",48
"2265",45
"2266",29
"2267",26
"2268",35
"2269",35
"2270",24
"2271",24
"2272",25
"2273",31
"2274",30
"2275",33
"2276",23
"2277",52
"2278",35
"2279",35
"2280",36
"2281",23
"2282",25
"2283",34
"2284",30
"2285",31
"2286",35
"2287",43
"2288",27
"2289",35
"2290",18
"2291",21
"2292",25
"2293",22
"2294",28
"2295",49
"2296",26
"2297",36
"2298",18
"2299",38
"2300",29
"2301",37
"2302",31
"2303",22
"2304",21
"2305",18
"2306",30
"2307",30
"2308",27
"2309",19
"2310",34
"2311",30
"2312",25
"2313",24
"2314",26
"2315",21
"2316",24
"2317",45
"2318",36
"2319",35
"2320",27
"2321",28
"2322",30
"2323",34
"2324",39
"2325",59
"2326",48
"2327",29
"2328",39
"2329",41
"2330",23
"2331",30
"2332",22
"2333",39
"2334",41
"2335",35
"2336",25
"2337",36
"2338",38
"2339",24
"2340",21
"2341",27
"2342",25
"2343",43
"2344",22
"2345",25
"2346",26
"2347",46
"2348",19
"2349",24
"2350",37
"2351",22
"2352",36
"2353",49
"2354",53
"2355",31
"2356",24
"2357",27
"2358",42
"2359",25
"2360",25
"2361",21
"2362",22
"2363",27
"2364",22
"2365",23
"2366",24
"2367",25
"2368",37
"2369",29
"2370",42
"2371",49
"2372",19
"2373",22
"2374",27
"2375",24
"2376",27
"2377",66
"2378",24
"2379",27
"2380",24
"2381",27
"2382",38
"2383",27
"2384",18
"2385",25
"2386",19
"2387",30
"2388",45
"2389",26
"2390",31
"2391",24
"2392",29
"2393",20
"2394",20
"2395",37
"2396",33
"2397",33
"2398",19
"2399",36
"2400",34
"2401",27
"2402",29
"2403",28
"2404",26
"2405",26
"2406",26
"2407",34
"2408",27
"2409",29
"2410",24
"2411",34
"2412",21
"2413",31
"2414",34
"2415",27
"2416",34
"2417",31
"2418",46
"2419",42
"2420",34
"2421",28
"2422",29
"2423",30
"2424",24
"2425",31
"2426",44
"2427",28
"2428",20
"2429",34
"2430",25
"2431",33
"2432",33
"2433",29
"2434",22
"2435",31
"2436",41
"2437",30
"2438",31
"2439",27
"2440",37
"2441",33
"2442",29
"2443",28
"2444",27
"2445",20
"2446",41
"2447",21
"2448",33
"2449",26
"2450",20
"2451",33
"2452",27
"2453",25
"2454",32
"2455",29
"2456",22
"2457",30
"2458",35
"2459",33
"2460",39
"2461",30
"2462",29
"2463",34
"2464",38
"2465",37
"2466",23
"2467",24
"2468",34
"2469",22
"2470",22
"2471",26
"2472",26
"2473",33
"2474",26
"2475",21
"2476",28
"2477",64
"2478",24
"2479",22
"2480",32
"2481",31
"2482",26
"2483",18
"2484",25
"2485",28
"2486",32
"2487",40
"2488",29
"2489",26
"2490",25
"2491",42
"2492",40
"2493",28
"2494",33
"2495",28
"2496",31
"2497",23
"2498",29
