,Overall Qual,Overall Cond,Total Bsmt SF,Central Air,Gr Liv Area,SalePrice
582,7,6,1107.0,1,2090,200000
583,7,6,752.0,1,2067,206000
584,6,6,723.0,1,1395,162000
585,6,7,932.0,1,2640,256900
586,6,5,1680.0,1,1724,197900
587,5,5,1288.0,1,1336,163000
588,6,5,1216.0,1,1216,113000
589,7,7,908.0,1,2288,230000
590,6,5,1350.0,1,1334,167900
591,7,5,1650.0,1,1680,213250
592,8,6,810.0,1,1665,227000
593,5,6,864.0,1,864,130000
594,5,5,1568.0,1,1568,143000
595,5,6,925.0,1,925,117500
596,7,5,1165.0,1,2061,168500
597,6,5,1232.0,1,1320,172500
598,6,5,1372.0,1,1342,161500
599,4,7,894.0,1,894,141500
600,5,7,864.0,1,864,118000
601,6,6,864.0,1,864,127500
602,4,5,1040.0,1,1362,140000
603,5,6,1048.0,1,1728,177625
604,5,5,1584.0,1,1776,110000
605,6,6,1516.0,1,1516,167000
606,5,6,1313.0,1,1313,153000
607,5,5,1292.0,1,1292,145100
608,5,6,1154.0,1,1154,154000
609,5,6,744.0,1,2140,177500
610,6,6,1127.0,1,1445,158000
611,5,6,1041.0,1,1041,124500
612,6,6,1208.0,1,1576,174500
613,5,5,960.0,1,960,122000
614,4,7,420.0,1,708,82500
615,5,4,709.0,1,1203,110000
616,6,4,1505.0,1,1505,149500
617,6,5,1680.0,1,1691,175000
618,6,5,1416.0,1,1644,167000
619,5,6,1050.0,1,1050,128900
620,6,8,856.0,1,1668,140000
621,5,7,1113.0,1,1113,147000
622,5,5,1584.0,1,1584,124000
623,6,6,1453.0,1,1453,187500
624,6,5,1394.0,1,1394,159000
625,6,8,1562.0,1,1567,256000
626,7,6,768.0,1,1986,205000
627,6,6,896.0,1,2142,193500
628,6,3,1392.0,1,1392,110000
629,4,4,715.0,1,1738,104900
630,5,7,1169.0,1,1144,150000
631,6,3,1478.0,1,1478,156500
632,7,6,1329.0,1,1329,176000
633,6,8,988.0,1,988,149500
634,6,6,1240.0,1,1632,139000
635,6,7,1215.0,1,1215,155000
636,5,5,1202.0,1,1202,120000
637,5,5,1382.0,1,1382,153000
638,4,5,1200.0,1,1200,144000
639,6,5,1362.0,1,1382,176000
640,5,6,1297.0,1,1297,153000
641,5,4,1866.0,1,1866,135000
642,6,7,1062.0,1,1062,131000
643,5,6,608.0,1,1319,123000
644,5,5,631.0,1,1112,126000
645,4,5,1005.0,1,1005,115000
646,5,7,1008.0,1,1363,164900
647,5,6,793.0,1,793,113000
648,5,8,1031.0,1,1031,145500
649,5,5,0.0,1,1210,102900
650,3,5,978.0,1,1699,95000
651,7,7,699.0,1,1527,152500
652,5,6,1200.0,1,1200,129900
653,6,6,972.0,1,972,132000
654,3,5,792.0,1,792,99900
655,5,7,660.0,1,1656,135000
656,5,7,676.0,1,1352,149000
657,4,8,405.0,1,1039,114000
658,5,8,768.0,1,792,109500
659,5,7,1054.0,1,1078,125000
660,4,5,1313.0,1,2377,142900
661,7,9,560.0,1,1690,156500
662,2,5,416.0,0,599,59000
663,4,6,840.0,1,1374,105000
664,5,7,720.0,0,846,106000
665,3,5,630.0,1,725,78500
666,6,5,1248.0,1,2544,190000
667,6,7,1380.0,1,1380,154000
668,6,4,1040.0,1,1040,163000
669,5,5,1248.0,1,2634,200000
670,6,9,951.0,1,951,143500
671,6,6,1105.0,1,1105,135000
672,5,7,992.0,1,1306,153000
673,6,5,1478.0,1,1478,157500
674,6,6,160.0,1,1142,113500
675,5,7,832.0,1,1268,133000
676,3,4,0.0,0,1040,92900
677,6,5,795.0,0,1133,128500
678,4,5,0.0,0,1040,90000
679,5,4,1208.0,1,1904,138000
680,5,6,1041.0,1,1041,128000
681,5,6,1029.0,1,1339,139000
682,5,7,732.0,1,732,118900
683,5,5,528.0,1,1183,138000
684,5,5,1148.0,1,1148,132500
685,4,7,832.0,1,1461,133500
686,6,7,864.0,1,1495,135000
687,6,5,780.0,1,1806,144750
688,5,7,941.0,1,941,145000
689,6,6,1045.0,1,1045,127000
690,5,5,894.0,0,894,109500
691,6,8,818.0,1,1224,115000
692,5,6,440.0,1,1230,110000
693,6,8,901.0,1,1378,128900
694,6,5,972.0,0,1944,103500
695,5,6,676.0,1,1131,66500
696,5,8,240.0,1,1306,130000
697,5,8,504.0,1,1464,129000
698,5,6,690.0,1,1558,150000
699,5,4,994.0,0,2372,107500
700,4,6,600.0,0,1701,94550
701,5,5,960.0,1,1960,124500
702,7,8,651.0,1,1389,135000
703,5,5,801.0,0,1447,103000
704,4,4,936.0,0,936,93000
705,5,7,768.0,1,1328,129500
706,5,4,811.0,1,1387,93000
707,4,6,861.0,1,861,80000
708,2,4,0.0,0,612,45000
709,3,6,600.0,0,968,37900
710,5,8,190.0,1,886,91300
711,5,8,624.0,1,792,99500
712,4,5,736.0,1,1452,113000
713,4,4,677.0,1,1510,87500
714,5,7,720.0,1,1284,110000
715,5,5,849.0,0,2138,106000
716,7,7,1240.0,0,2640,265979
717,6,7,917.0,1,2007,160000
718,6,7,624.0,1,1288,119000
719,8,9,916.0,1,1742,168000
720,4,3,624.0,1,816,58500
721,7,9,650.0,1,1482,143000
722,5,4,1022.0,0,1022,85000
723,5,6,1088.0,1,1869,124900
724,6,6,972.0,1,1480,119000
725,6,7,741.0,1,1521,146500
726,4,5,720.0,0,720,34900
727,3,3,245.0,0,797,44000
728,5,6,1324.0,1,1576,223500
729,6,6,1022.0,0,1432,149000
730,7,7,952.0,0,1548,205000
731,5,7,297.0,1,1654,137000
732,6,6,952.0,0,952,121000
733,4,6,672.0,1,1324,128000
734,6,9,698.0,1,1176,134900
735,5,8,884.0,1,1348,117000
736,6,6,780.0,1,1412,132500
737,5,5,468.0,1,1142,93000
738,6,7,884.0,1,904,119000
739,5,5,1145.0,1,1301,100000
740,5,6,927.0,1,1539,141500
741,4,7,884.0,1,1573,133000
742,2,3,264.0,0,800,60000
743,5,7,715.0,1,875,105000
744,5,6,960.0,1,995,115000
745,5,6,952.0,1,1582,150000
746,5,5,1072.0,1,1072,126500
747,6,6,844.0,0,2134,214500
748,7,8,728.0,0,2019,167500
749,6,6,1048.0,1,1768,155000
750,7,8,910.0,1,1826,155000
751,7,8,672.0,1,1944,179900
752,6,6,755.0,1,2229,104000
753,5,1,1040.0,0,2128,62500
754,6,5,720.0,1,1930,149000
755,4,5,780.0,1,1208,103000
756,6,7,483.0,1,1427,123000
